DB,SITEID,DATE,LAT,LON,STATE,DUPL,SAMPLEID,GRAINSIZE,DEPTH,Al,As,Ba,Bi,Ca,CdICPMS,CdAR,Ce,Co,Cr,Cs,CuICPMS,CuAR,F,Fe,Ga,Ge,Hg,K,La,Li,Mg,Mn,MoICPMS,MoAR,Na,Nb,NiCPMS,NiAR,P,PbICPMS,PbAR,Pr,Rb,SbICPMS,SbAR,Sc,Se,Si,Sm,SnICPMS,SnAR,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,ZnICPMS,ZnAR,ZrICPMS,ZrAR,FIELDpH,pH15,EC15,SAND,SILT,CLAY,LOI
geochem,2007190013,07.05.2008,-25.8488,135.2452,NT,,2007190013002 Fine,lt85,BOS,61632,5.4,542.6,0.42,11692,0.62,0.06,130.6,9.8,58.2,5.14,19.9,23.7,400,32767,14.6,0.6,0.04,24422,68.57,16.8,7688,519,0.3,0.26,3376,20,19,14.6,559,25.79,26.9,15.18,124.5,0.4,0.13,19.3,0.04,324011,11.53,5.2,16.3,121.7,1.59,1.69,0.03,34.61,6407,0.23,0.2,6.48,81.1,2,69.1,7.71,55,26.3,2511,5.4,6,8.82,55.9,84.34,12.1,3.56,6.5
geochem,2007190014,22.10.2007,-35.7518,143.6603,VIC,,2007190014002 Fine,lt86,BOS,94872,11.2,523,0.5,7590,0.41,0.07,66.98,12.7,100.1,8.63,23.3,22,380,46839,23,0.8,0.01,19657,36.41,32,9141,271,0.3,0.24,2841,12.7,35.1,27.6,192,21.55,15.1,8.22,141.9,0.4,0.22,15.6,0.03,259234,6.47,3.3,2.08,93.9,0.92,0.86,0.06,14.08,4621,0.38,0.2,1.55,111.3,2.5,34.1,2.97,52,37.5,320,11.6,9,7.86,734,24.9,54.86,20.24,13.6
geochem,2007190015,25.10.2007,-23.5343,149.7069,QLD,,2007190015002 Fine,lt87,BOS,82984,8.3,427.1,0.34,10199,0.5,0.23,60.93,19.6,110.2,6.85,51.4,34,320,44657,20.4,0.6,0.06,12750,33.17,17,7730,728,0.3,0.35,6076,15.6,40.9,35.9,912,17.16,14,7.69,98.4,0.4,0.21,15,0.21,263777,6.8,2.3,1.41,198.2,0.97,0.94,0.06,9.88,6389,0.17,0.2,2.16,115.4,1.7,34.7,2.93,85.9,75,216.4,6.5,8,7.15,313,13.27,63.34,23.39,14.9
geochem,2007190016,03.07.2007,-30.8569,119.9266,WA,,2007190016002 Fine,lt88,BOS,114583,7.6,449.6,0.3,1286,0.1,0.01,37.82,9.5,172.5,2.56,20.7,11.1,420,60281,25.9,0.62,0.01,9687,25.5,8.5,6922,170,2.5,1.37,18785,11.7,50.7,22.6,122,14.72,5.5,3.78,55.8,0.4,0.1,15.2,0.43,229825,2.128,1.9,0.81,52.4,0.93,0.316,0.06,28.19,4860,0.11,0.1,3.56,128.6,1.4,12.1,1.422,37.9,14.6,383.2,14.8,6,5.7,5075,82.44,11.44,6.12,12.5
geochem,2007190017,07.06.2008,-20.7195,120.9245,WA,,2007190017002 Fine,lt89,BOS,43710,6.3,194,0.29,600,0.43,0.01,40.19,6,91.7,2.01,15.4,6.04,160,25738,9.6,0.61,0.01,6350,22.8,6.4,597,155,0.3,0.29,482,23.4,64.5,5.7,161,11.88,5.91,4.53,42.9,0.4,0.11,29.1,0.06,383862,4.081,2.5,0.92,19.5,2.24,1.076,0.02,21.47,6772,0.08,0.1,5.8,68.9,2.2,59.4,7.994,14.4,11.3,3198.3,11.5,6.5,5.53,5.6425,86.41,10.06,3.53,3.4
geochem,2007190018,06.12.2007,-30.9634,118.7959,WA,,2007190018002 Fine,lt90,BOS,101991,5.4,378.3,0.27,7812,0.15,0.03,281.47,14.5,82.8,3.42,16.8,19.3,560,26074,23.7,0.56,0.05,22031,101.57,34.6,12355,387,1.3,1.92,11099,21.6,34.5,37.1,166,119.36,118,20.95,177,0.4,0.09,12.6,0.09,254981,15.427,3,1.49,49.6,1.93,2.115,0.03,74.63,3374,0.41,0.4,12.85,55.6,1.1,66.8,5.938,28.3,44.3,450.8,23.6,8,8.95,1325,56.15,34.41,9.44,14
geochem,2007190019,30.11.2007,-34.876,150.4985,NSW,,2007190019002 Fine,lt91,BOS,58361,14.9,424.3,0.62,4667,0.18,0.13,88.61,13.3,91.6,5.9,23,20.2,520,30634,13.8,0.66,0.02,17855,45.37,13,6283,426,0.3,0.54,5453,16.2,25.6,21.4,528,21.55,17.9,9.99,111.3,1.2,0.54,16.4,0.02,335149,8.278,6.3,0.8,92.3,1.35,1.383,0.02,16.86,5705,0.07,0.2,5.21,95.2,3.5,53.1,5.403,71.2,51.3,1123.8,1.6,6,6.065,16.095,81.06,15.2,3.75,7
geochem,2007190021,08.06.2008,-27.641,142.781,QLD,,2007190021002 Fine,lt92,BOS,65924,6.8,387.3,0.21,42210,0.1,0.01,37.35,6.7,59,3.45,17.2,15.9,180,33781,14.9,0.5,0.01,7786,21.95,6.6,4854,147,0.5,0.16,6640,8.4,16.6,13.1,227,248.2,4.65,4.26,46,0.4,0.07,12.8,0.06,234523,2.78,1.6,0.72,318.4,0.57,0.49,0.04,7.07,4477,0.17,0.1,1.36,132.8,1,18.4,1.92,66.8,46.9,299.3,16.6,9,6.36,4580,36.24,42.54,21.22,19.5
geochem,2007190022,05.02.2008,-29.1282,149.0005,NSW,,2007190022002 Fine,lt93,BOS,67115,6,456.1,0.33,6840,0.13,0.03,72.71,27.5,85.4,4.92,26.9,22.9,280,34585,15.2,0.59,0.01,12543,32.24,15.5,6271,1828,1,0.45,7434,16.4,38.6,39.1,279,20.58,17.8,7.47,89.8,0.4,0.12,11.7,0.01,315701,6.661,2.9,1.4,146.4,1.25,1.044,0.04,11.38,7425,0.24,0.3,2.76,86.1,2.3,37.2,3.586,64,56.4,321.7,16.1,8,8.12,233.5,17.34,58.46,24.19,8.7
geochem,2007190023,03.04.2008,-22.874,138.7608,QLD,,2007190023002 Fine,lt94,BOS,53819,4.6,317.4,0.28,4867,0.22,0.06,52.26,11,52.6,2.94,17.8,15.7,260,27766,11.8,0.45,0.01,12202,25.73,13.5,5572,465,1.1,1.4,1773,9.9,20.3,15.2,257,16.5,94.8,5.88,58.5,0.4,0.02,10.8,0.01,345086,4.71,1.7,0.68,97.1,0.77,0.737,0.04,9.32,4716,0.2,0.2,2.01,59.9,1.3,28.1,2.936,59.3,40.6,747.5,7.3,9,6.675,33.95,47.93,31.64,20.44,7.7
