DB,SITEID,DATE,LAT,LON,STATE,DUPL,SAMPLEID,GRAINSIZE,DEPTH,Al,As,Ba,Bi,Ca,CdICPMS,CdAR,Ce,Co,Cr,Cs,CuICPMS,CuAR,F,Fe,Ga,Ge,Hg,K,La,Li,Mg,Mn,MoICPMS,MoAR,Na,Nb,NiCPMS,NiAR,P,PbICPMS,PbAR,Pr,Rb,SbICPMS,SbAR,Sc,Se,Si,Sm,SnICPMS,SnAR,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,ZnICPMS,ZnAR,ZrICPMS,ZrAR,FIELDpH,pH15,EC15,SAND,SILT,CLAY,LOI
geochem,2007190219,04.06.2008,-25.9644,141.623,QLD,,2007190219002 Fine,lt258,BOS,79247,4.5,490.7,0.18,4667,0.11,0.02,52,14.9,60.6,3.94,22,18.8,220,39187,18.2,0.6,0.01,8276,25.07,14.3,5668,488,0.5,0.25,2011,9.7,20.6,15.9,297,14.94,9.46,5.92,58.5,0.4,0.11,14.5,0.04,295635,4.98,1.9,1.26,144.3,0.73,0.76,0.02,8.24,5376,0.24,0.2,1.84,103,0.9,27.9,2.85,59.7,58.3,517.9,14.8,7.5,7.62,35.8,38.05,41.9,20.05,12.2
geochem,2007190221,05.08.2009,-14.2767,130.0637,NT,,2007190221002 Fine,lt259,BOS,63304,3.6,334.1,0.41,436,0.12,0.02,108.31,16.3,63.8,5.22,22.7,22,160,35704,15.7,0.59,0.01,5562,51.95,5.9,989,294,0.8,0.58,289,16.4,18.5,8.5,410,29.31,24,11.48,46,1.3,0.35,14.6,0.57,297977,9.935,2.4,1.04,23.6,1.33,1.586,0.02,15.47,5795,0.07,0.2,5.34,84.5,2.9,56.8,5.37,20.9,21.2,869.3,1.6,6.5,5.03,5.45,63.57,27.89,8.54,17
geochem,2007190222,03.12.2007,-31.4629,116.7211,WA,,2007190222002 Fine,lt260,BOS,70318,1.4,979.6,0.15,6725,0.3,0.01,230.12,4.6,191.3,0.94,13.4,8.14,140,15289,16.3,0.45,0.01,29477,131.16,1.3,1905,209,1.3,0.36,17509,15.8,17.2,4.4,240,37.69,10.1,22.58,124.6,0.4,0.08,16.5,0.07,342922,13.653,1,0.21,132.8,1.19,1.51,0.04,74.2,5693,0.05,0.1,7.7,52,0.7,55.2,5.254,20.6,2.1,1753.3,3.2,8.5,7.69,178.6,92.79,5.47,1.75,2.7
geochem,2007190223,11.08.2009,-27.693,138.2812,SA,,2007190223002 Fine,lt261,BOS,40523,2.1,428.3,0.19,3924,0.61,0.05,107.88,10,159.8,1.65,13.1,5.3,120,36586,8.1,0.45,0.01,8575,53.7,1,3491,558,0.6,0.01,4785,28.3,11.6,3,319,11.67,3.35,12.21,35.3,0.4,0.09,21.4,0.01,355724,10.334,3,0.32,148.5,2.02,1.452,0.11,25.47,16241,0.04,0.1,7.73,127.6,2.5,67.6,9.2,52.7,16.8,5742.9,4.1,9,6.17,60.2,81.07,14.83,4.1,4.7
geochem,2007190224,22.11.2008,-33.9046,136.5596,SA,,2007190224002 Fine,lt262,BOS,54343,5.7,273.8,0.43,59649,0.17,0.11,75,8.8,65.4,3.49,23,20.9,180,26654,13.7,0.5,0.08,14352,38.49,19.4,9226,449,0.9,0.42,6351,11.5,37.6,25.9,467,25.31,0.16,8.9,83,0.4,0.13,13.4,0.46,213190,6.85,2.4,1.05,249.8,1.1,0.85,0.04,19.96,3979,0.25,0.2,2.44,57.3,1.6,32.3,3.07,44,19.3,686.1,5.1,10,8.22,7.87,83.81,11.29,4.9,26.3
geochem,2007190225,29.10.2008,-27.9889,143.837,QLD,,2007190225002 Fine,lt263,BOS,48346,4.5,297.4,0.21,1644,0.1,0.04,52.77,12.4,80.3,2.11,18.5,11.5,120,21458,10,0.4,0.02,5686,24.74,3.1,1520,565,1.6,1.45,2152,12.5,16.8,13.4,314,14.2,0.07,6.05,35,0.4,0.04,11.1,0.05,364170,4.94,1.5,0.68,84.4,0.89,0.75,0.04,9.4,6227,0.25,0.2,2.59,88.8,1.9,30.6,3.51,34.6,24.1,923.9,1.6,5.5,5.91,34.1,50,37.93,12.07,7.1
geochem,2007190226,04.02.2008,-29.6545,148.5844,NSW,,2007190226002 Fine,lt264,BOS,58366,3.8,371.1,0.22,7247,0.1,0.04,58.21,17.7,89.5,3.95,21.9,17,260,29417,11.7,0.58,0.11,13672,26.69,5.1,5554,922,0.6,0.32,9481,15.7,32.9,24.3,428,14.24,8.48,6.42,75,1.1,0.17,12.6,0.03,327675,5.668,5.7,0.56,156.6,1.16,0.844,0.04,11.25,6293,0.11,0.2,2.28,77,24,32.9,3.324,54.1,51.9,662.6,3.8,8,8.16,221.2,51.63,26.02,22.35,8.4
geochem,2007190227,07.06.2008,-28.6086,142.5779,QLD,,2007190227002 Fine,lt265,BOS,51332,1.6,338.6,0.15,2530,0.1,0.05,48.25,10.2,85,2.53,17.6,15.3,160,23724,11.8,0.5,0.02,10044,24.27,9.1,2882,356,2.2,2.28,2738,11.6,21.8,21.9,284,12.49,7.29,5.59,46.6,0.4,0.1,14.1,0.02,362959,4.53,2.7,0.83,101.4,0.78,0.7,0.02,8.65,5873,0.15,0.1,2.76,64.8,0.7,31.5,3.3,43,38.2,1167,10.2,7.5,7.53,16.12,72.31,22.11,5.58,5.6
geochem,2007190228,17.07.2007,-32.9836,138.0154,SA,,2007190228002 Fine,lt266,BOS,56037,7.1,518.9,0.27,22234,0.11,0.09,86.65,12.8,64.2,5.41,23.8,21.2,640,32221,13.1,0.64,0.02,20097,43.22,18.3,12573,472,1.2,0.6,8584,14.4,26.6,23.5,716,19.02,13.5,9.6,98,1.2,0.37,10.7,0.26,304469,7.774,2.3,0.26,154,1.15,1.066,0.03,15.26,5819,0.07,0.1,3.65,109.2,1.7,38.6,3.592,60.2,45.9,583.5,4.6,8.5,7.565,1465,66.32,24.41,9.27,9.3
geochem,2007190229,03.07.2007,-31.2279,119.6805,WA,,2007190229002 Fine,lt267,BOS,82137,5.8,422.6,0.27,2101,0.1,0.03,31.39,5.1,144,3.29,30.6,25.5,460,35830,15.8,0.4,0.01,17689,20.57,17.5,4806,93,2.4,1.29,18125,9.8,25.6,14,253,24.4,0.08,2.8,86.8,0.4,0.12,10.4,0.31,289582,1.56,1.2,1,242.4,1.02,0.27,0.08,27.34,3464,0.25,0.1,7,99.6,1.7,16,1.93,19,4.7,338.5,9.2,5.5,4.87,9770,74.68,19.84,5.48,8.7
geochem,2007190230,22.02.2008,-28.2882,118.3183,WA,,2007190230002 Fine,lt268,BOS,100953,4.9,353.9,0.44,2952,0.1,0.1,77.65,22.9,161.7,3.78,31.5,23.9,260,60078,22.1,0.66,0.04,13066,38.93,3,6325,1131,2.9,1.62,2678,17.4,42.8,22,349,27.31,16.4,8.08,82.7,0.9,0.21,18.3,0.29,263614,6.426,2.2,1.16,58.5,1.8,0.938,0.04,23.64,7863,0.18,0.2,3.5,166.3,1.7,35.2,3.598,60.1,17.9,444,6.5,8,6.925,69.45,56.44,28.09,15.47,10.9
geochem,2007190231,17.11.2007,-28.3554,116.6591,WA,,2007190231002 Fine,lt269,BOS,111857,11.1,233.1,0.41,1615,0.1,0.05,80.16,32.8,381.2,5.38,45.5,32.3,460,62247,26.6,0.76,0.11,17249,36.52,6.9,13586,790,2.7,1.7,8458,12,115.4,67.8,301,26.29,16.5,7.05,105,1,0.38,20.5,0.11,214840,5.049,2.6,1.22,57.1,1.04,0.708,0.03,19.39,4165,0.26,0.2,4.58,160.2,1.7,23.8,2.124,86.7,36.3,155.8,12.9,10,9.6875,931,50.05,34.61,15.34,17.3
geochem,2007190232,23.10.2007,-36.1712,144.7471,VIC,,2007190232002 Fine,lt270,BOS,77738,8.5,715.9,0.68,3338,0.1,0.06,82.51,16.2,91.8,8.11,24.6,20.3,380,37880,18.4,0.5,0.06,16071,45.42,18.5,7043,434,0.6,0.44,3257,16.1,32.9,24.7,249,20.73,0.21,10.32,128.1,1.4,0.46,13.6,0.14,286367,8.31,3.2,1.47,93.4,1.25,1.15,0.04,15.4,5346,0.25,0.2,2.37,106.9,2.9,40.3,3.59,47.1,34.8,299.1,6,8.5,7.575,524,14.23,62.83,22.94,13.5
geochem,2007190233,15.05.2008,-22.2404,137.1125,NT,,2007190233002 Fine,lt271,BOS,34336,2.3,331.2,0.17,1572,0.21,0.01,64.6,4.3,58.3,1.79,9.2,6.37,120,19380,8.1,0.5,0.01,12742,34.33,5.7,1863,186,1,0.83,1536,15.7,12.4,8.9,196,17.71,8.92,7.49,55.7,0.4,0.08,17.4,0.03,394317,5.78,1.7,0.72,64,1.21,0.95,0.05,17.99,6520,0.09,0.1,4.93,58.5,1.2,47.2,5.56,25.4,17.9,2504,5.1,5.5,6.82,9.045,76.43,19.94,3.63,2.7
geochem,2007190234,26.10.2007,-28.0505,150.1469,QLD,,2007190234002 Fine,lt272,BOS,39819,3.8,399.1,0.14,2923,0.13,0.01,79.22,9.2,68.3,2.02,7,4.4,160,17576,7.3,0.49,0.01,8650,38.45,0.9,1290,263,0.9,0.14,5497,17.5,16,5.5,288,13.92,5.75,8.65,40.2,0.4,0.11,13.3,0.04,383086,6.593,1.5,0.17,113.1,1.21,0.865,0.02,17.38,8390,0.06,0.1,3.68,70.1,1.4,36.5,4.049,28.9,11.2,1547,1.7,6,6.105,10.09,84.67,10.83,4.5,3.9
geochem,2007190235,01.03.2008,-24.7004,115.309,WA,,2007190235002 Fine,lt273,BOS,71127,6.6,500.2,0.31,6697,0.1,0.05,138.2,14.7,83.5,4.85,28.1,28.3,400,46097,17.4,0.9,0.07,20919,72.71,21.2,5523,674,0.6,1.35,7033,22.2,24.8,23.8,397,24.53,21.2,15.81,119.6,0.9,0.32,21.8,0.08,316776,11.96,2.8,1.46,126.1,1.74,1.58,0.03,36.27,7401,0.31,0.2,6.59,122.9,1.4,61.3,5.88,57.1,53.7,1505,9.3,8,7.53,12.82,71.69,22.88,5.43,5.3
geochem,2007190237,14.10.2007,-24.0527,147.7664,QLD,,2007190237002 Fine,lt274,BOS,63966,5.8,333.2,0.2,3552,0.1,0.01,76.33,25,106.3,4.1,18.6,14.7,360,39677,13.7,0.64,0.04,8849,37.6,5.2,5741,294,1.6,0.9,3398,19.5,50,39.6,218,15.11,9.42,8.65,62.3,1,0.18,13.7,0.09,317407,7.521,2.7,0.68,107.8,1.34,1.069,0.05,12.29,8912,0.13,0.2,2.4,107.1,2.4,40.8,3.733,48.6,20.8,631.2,6.6,8.5,7.71,116.8,56.65,25.88,17.47,9.7
geochem,2007190238,01.04.2008,-27.2707,122.9383,WA,,2007190238002 Fine,lt275,BOS,98942,4.5,402,0.31,936,0.1,0.01,54.86,15.4,110,5.97,30.9,25.3,560,45048,25.2,0.7,0.02,15896,28.63,23.7,17602,426,1.3,0.89,5549,12.3,34.6,25.5,266,19.89,13.5,5.62,100.1,1,0.22,15.9,0.22,262754,3.82,2.6,2.51,67.9,1.01,0.6,0.1,4.57,4585,0.28,0.1,3.76,103.6,3,16.3,2.39,69.3,53.8,484.7,15.5,8,6.6,1966,80.85,15.6,3.55,11.6
geochem,2007190239,30.07.2008,-20.7317,133.4897,NT,,2007190239002 Fine,lt276,BOS,40841,3.8,344,0.02,2845,0.1,,101.7,6.3,40.9,2.86,16.8,,,21171,8.4,0.6,,13348,51.04,,2008,279,0.3,,1217,12.5,14,,336,16.65,,11.53,76.3,0.4,,9.9,,363572,8.79,2.6,,74.3,1.73,1.16,,29.33,4045,,,5.82,52.3,1.7,43,4.47,31.7,,1278,,6.5,6.55,4.51,99.19,0.81,0,8
geochem,2007190241,12.03.2008,-32.3995,150.3716,NSW,2007190978,2007190241002 Fine,lt277,BOS,72710,2.3,409.1,0.07,25951,0.1,0.05,68.06,41.9,396.3,1.93,48.1,45.8,300,65233,17.4,0.5,0.01,8401,37.45,8.6,15762,1216,0.9,0.72,5349,54.2,95,97.6,1772,9.08,7.48,8.08,37.2,0.4,0.11,10.5,0.05,227563,7.34,1.7,1.11,363,2.96,1.06,0.05,7.16,12729,0.07,0.3,1.88,179.9,0.2,31.2,2.88,94,86.3,379.5,24,9.5,8.14,82.6,63.34,27.03,9.62,17.5
geochem,2007190242,19.04.2008,-24.8289,134.1901,NT,,2007190242002 Fine,lt278,BOS,50649,2.1,523.8,0.3,8726,0.17,0.02,118.5,6.9,50.8,4.17,12.8,9.88,320,25941,12.5,0.6,0.01,21068,62.61,11.5,4444,410,0.3,0.25,4259,18.6,12.4,15,380,20.92,9.03,13.54,108,0.4,0.12,18.5,0.03,351849,10.62,2.3,1.17,105.8,1.76,1.53,0.04,35.25,6071,0.16,0.2,6.6,65.6,1.4,64,6.78,41.2,34.6,2111,4.1,7.5,7.66,68,86.85,10.54,2.61,5
geochem,2007190243,19.02.2008,-34.0558,141.7953,NSW,,2007190243002 Fine,lt279,BOS,62420,3.5,424.5,0.18,8648,0.1,0.03,58.41,10.6,67.9,4.49,24.7,23.9,340,30927,15.1,0.6,0.02,13539,29.49,14.6,7966,364,0.5,0.37,9645,15.5,22.6,22.3,563,13.75,8.66,6.8,77.9,1.1,0.09,12.4,0.04,304025,5.74,2.5,1.27,180,1.1,0.85,0.03,8.26,5591,0.19,0.2,2.34,95.8,1,27.6,2.95,63.4,52.6,492.1,15,10,8.86,3025,34.05,42.55,23.39,11.6
geochem,2007190244,06.03.2008,-28.6164,119.0561,WA,,2007190244002 Fine,lt280,BOS,110248,3.4,160.6,0.37,6497,0.1,0.02,64.75,22.3,162.7,4.38,43.3,36.9,560,59960,26.6,0.7,0.04,12452,27.2,21.6,25085,627,2.1,1.44,2471,12.1,62.4,44.3,323,20.1,13.4,5.42,92.4,1.3,0.16,19.4,0.17,220412,3.94,2.4,2.12,66.8,1.03,0.58,0.11,13.37,4998,0.26,0.2,21.77,128.4,1.3,19.5,2.08,76.1,60.1,185.7,12.4,8.5,9.03,343,63.75,29.47,6.78,15.4
geochem,2007190245,28.03.2008,-28.7293,123.8622,WA,,2007190245002 Fine,lt281,BOS,64887,4.3,278,0.23,1372,0.1,0.01,41.05,8.2,119.8,2.82,16.9,11.7,120,30969,15.5,0.5,0.02,9198,21.36,13.6,1007,163,0.5,0.5,786,14.7,25.7,13.6,170,15.19,8.06,4.76,61.4,0.4,0.1,16.6,0.09,344128,3.93,1.7,1.26,40.3,1.22,0.68,0.11,18.94,5645,0.14,0.1,3.13,77.7,0.9,30.4,3.54,26,21.4,1217,10.3,6.5,6.06,10.22,88.35,9.32,2.34,7
geochem,2007190246,17.07.2008,-16.0825,136.3183,NT,,2007190246002 Fine,lt282,BOS,43688,4.2,447.3,0.42,2101,0.46,0.05,52.88,8.5,47.5,3.98,13,14,260,24185,9.6,0.72,0.02,19939,23.95,3,2828,279,0.9,0.45,734,16,11.5,8.8,271,17.39,11.3,5.9,102.8,1.3,0.26,19,0.1,360819,7.51,1.5,0.92,72.5,1.43,2.011,0.03,18.28,4453,0.11,0.2,9.53,67.2,2.6,101.3,12.27,31.6,35.8,4612.1,2.4,6,6.29,6.63,78.53,15.03,6.44,6.5
geochem,2007190248,26.10.2008,-28.0636,139.2786,SA,2007191198,2007190248002 Fine,lt283,BOS,30287,3.1,310.4,0.02,4910,0.51,0.06,127.3,9,222.1,1.36,9.1,50.9,60,36397,5.3,0.5,0.02,8343,63.06,4.1,2744,658,0.3,0.11,5319,32,10.7,6.3,332,11.13,0.05,14.84,28.9,0.4,0.06,29.2,0.02,371770,11.05,8,0.77,117.7,2.16,1.53,0.02,34.11,19465,0.25,0.1,9.31,139.3,2.7,72.8,11.44,41.3,0.1,7000,14.1,9,9.09,56.6,88.98,9.07,1.95,2.5
geochem,2007190249,21.02.2008,-29.9187,121.3594,WA,,2007190249002 Fine,lt284,BOS,50453,3.5,235.9,0.18,83513,0.1,0.02,24.91,10.6,160.3,2.65,26.3,23.8,480,25794,12,0.4,0.03,10368,17.95,23,14357,225,0.3,0.37,6173,7.2,46.8,44.1,275,21.67,15.8,3.88,55.1,0.4,0.07,5.6,0.26,179926,2.84,1.1,0.99,84.2,1.39,0.44,0.07,7.18,2733,0.14,0.1,4,54.3,0.1,17.2,1.65,44.2,30.4,156.4,9.4,8,7.22,5590,69.38,23.79,6.83,25.9
geochem,2007190251,26.09.2009,-31.6779,135.386,SA,,2007190251002 Fine,lt285,BOS,65834,8.4,790.3,0.59,1780,0.13,0.07,80.41,14.2,52.3,3.3,19.6,19.1,500,36474,16.1,0.57,0.01,25700,42.43,8,17692,705,1.6,1.3,28333,14.7,17.8,14.4,541,31.86,26.3,9.53,110.4,0.4,0.26,11.2,0.19,277589,7.846,2.1,1.32,115.6,1.03,1.094,0.02,15.71,4177,0.17,0.2,4.83,91.9,1.9,41.6,4.029,65.6,53.2,785,9.6,9.5,6.72,7090,71.69,23.69,4.62,8.5
geochem,2007190252,06.08.2008,-14.6245,144.2471,QLD,,2007190252002 Fine,lt286,BOS,42466,4.2,193.5,0.18,522,0.1,0.01,56.14,8.7,76,4.38,5.8,4.63,160,18205,8.8,0.5,0.03,6732,27.94,12.2,1369,163,0.9,0.73,1966,13.1,10.1,6.5,236,12.02,7.98,6.4,56.8,0.4,0.02,11.3,0.12,366278,5.29,1.8,0.78,37.9,0.99,0.85,0.03,12.59,4938,0.15,0.1,4.12,48.3,1.6,37.2,3.83,18.8,15.8,1024,1.2,6.5,4.41,6.66,81.67,12.94,5.39,8.6
geochem,2007190253,27.09.2008,-30.8376,140.6597,SA,,2007190253002 Fine,lt287,BOS,48272,5.1,333.8,0.02,5425,0.1,0.07,88.64,7.3,47.6,2.71,14.9,14.4,100,25213,9.7,0.6,0.03,13174,45.24,10.9,5403,287,0.3,0.45,4548,15,13.7,10.6,319,13.65,0.14,10.3,57.9,0.4,0.12,10.6,0.05,355733,7.96,2,0.83,123.3,1.56,1.07,0.05,17.82,5508,0.25,0.1,3.58,69.1,2.3,40.4,4.2,44.7,34.1,1062,3.9,7.5,8.39,36.4,79.37,15.15,5.48,6.1
geochem,2007190256,12.08.2008,-28.1337,136.7866,SA,2007190875,2007190256002 Fine,lt288,BOS,48584,5.3,628.9,0.14,5425,0.1,0.05,56.97,8.4,63.4,2.62,11.9,10.7,220,25500,9.9,0.6,0.03,14477,28.15,11.8,3829,318,0.3,0.29,7812,13.7,11.3,9.2,493,13.74,7.59,6.63,57.6,0.4,0.03,13.1,0.09,356047,5.57,1.5,0.78,213.4,1.1,0.83,0.08,11.53,6083,0.08,0.1,3.04,80.6,0.5,34,3.71,48.9,44.4,1256,10.5,8.5,6.87,141.3,22.02,55.94,22.04,5.4
geochem,2007190257,16.10.2007,-35.8178,142.4117,VIC,,2007190257002 Fine,lt289,BOS,73636,7.4,440,0.34,6718,0.1,0.01,67.62,14.5,91.8,5.68,16.9,13.5,400,37649,17.2,0.67,0.01,12842,30.99,10,8074,457,0.9,0.36,5000,12.8,28.7,19.7,166,20.18,14,6.93,100.6,0.4,0.1,14.5,0.07,290293,5.819,3,0.88,112.7,1.03,0.798,0.02,13.01,4776,0.17,0.2,1.67,96.6,1.8,31.9,2.921,40.4,21.1,408.7,5.6,9,8.785,858.5,45.06,29.8,25.14,13
geochem,2007190258,07.02.2008,-29.2165,152.5645,NSW,2007191176,2007190258002 Fine,lt290,BOS,73065,7.7,480.6,0.24,8898,0.19,0.05,100.05,15,99,4.09,11.2,11.8,280,29962,14.7,0.71,0.02,17731,48.98,5.4,4631,604,1.1,0.35,19579,19.6,18.9,15.6,406,19.04,11.8,10.83,98.5,5.1,0.39,18.6,0.11,320833,8.761,3.4,0.6,202.6,1.74,1.18,0.02,30.69,7833,0.08,0.1,7.57,95.7,4,50.6,5.418,53.7,37.9,1431.7,2.8,5.5,6.135,11.985,83.63,12.06,4.32,4.8
geochem,2007190259,06.09.2007,-33.3491,145.882,NSW,,2007190259002 Fine,lt291,BOS,51771,4.7,438.7,0.25,8005,0.1,0.01,60.45,11.1,59.5,3.67,23.6,20.2,280,25080,10.8,0.52,0.04,15017,30.66,6,5656,519,0.6,0.25,7656,13.9,17.9,16.6,471,14.48,9.29,6.74,80.3,0.4,0.21,10.3,0.06,344572,5.207,2.4,0.64,125.4,1.11,0.875,0.03,11.82,4872,0.13,0.1,2.36,73.2,1.7,32.8,3.273,48.8,27.4,499.1,5.9,10,9.64,1051.5,38.34,44.6,17.06,6.8
geochem,2007190261,06.10.2007,-18.5404,144.1146,QLD,,2007190261002 Fine,lt292,BOS,74769,7.1,702,0.32,17496,0.1,0.08,101.28,16.3,68.6,2.36,23.2,20.5,440,35117,17.5,0.56,0.02,19134,47.08,5.1,5276,891,0.5,0.34,14994,18,26.1,21.6,380,24.96,13.1,10.17,100.9,0.4,0.17,12,0.05,303553,7.984,2.5,0.61,237.7,1.47,1.241,0.04,20.31,6107,0.17,0.2,5.09,90.5,0.9,45.8,4.566,57.8,36.5,747.4,2.7,5,7,12.47,81.91,13.59,4.51,6.9
geochem,2007190263,02.04.2008,-32.4377,142.5283,NSW,,2007190263002 Fine,lt293,BOS,62521,2.9,366.3,0.17,5582,0.1,0.04,54.48,13.5,70.6,4.05,19.8,17.6,260,31165,14.7,0.5,0.01,13223,26.98,13.8,6772,457,0.4,0.3,5742,15.2,21.2,20.7,384,14.59,9.55,6.26,70.2,0.4,0.09,12.4,0.01,326512,5.23,1.8,1.32,135.4,1.04,0.83,0.02,9.99,6263,0.19,0.2,2.23,85.8,0.8,31.7,3.1,58.3,54.1,465.4,15.9,9,8.36,196.5,18.41,52.41,29.17,8.3
geochem,2007190264,12.10.2007,-20.9932,146.2946,QLD,,2007190264002 Fine,lt294,BOS,58191,4,461,0.45,6439,0.1,0.01,91.27,9.2,57.7,4.64,16.6,13.6,420,27067,12.1,0.59,0.01,15614,46.36,11,5499,465,0.5,0.24,5364,19.1,15.7,13.8,327,21.46,9.93,9.99,99.1,0.4,0.17,11.8,0.06,344731,7.895,3.2,0.97,89.1,1.86,1.327,0.02,22.13,5058,0.26,0.1,4.59,72.1,2.4,52.6,5.476,39.8,28.2,810.9,2.6,6.5,6.33,11.8,77.47,17.3,5.23,5.9
geochem,2007190265,09.10.2007,-19.641,136.0504,NT,,2007190265002 Fine,lt295,BOS,22797,3.1,142.9,0.27,219513,0.1,0.14,36.57,4.6,40.3,1.1,11.5,8.17,380,10491,4.9,0.26,0.01,5296,18.71,3,6989,116,0.3,0.03,319,5.5,33.5,18.9,249,7.57,4.32,3.96,22.7,0.4,0.09,5.2,0.03,142940,2.856,1.2,0.23,152.7,0.41,0.382,0.08,4.66,2086,0.06,0.1,1.3,24.5,0.5,15.9,1.516,15.6,8.9,442.3,0.6,9.5,8.235,56.1,63.4,27.66,8.94,30.5
geochem,2007190266,17.07.2008,-29.1721,136.3256,SA,2007191458,2007190266002 Fine,lt296,BOS,55386,5.9,604.3,0.16,20176,0.13,0.06,52.77,9.6,47.9,6.42,16.3,17,500,32019,12.2,1.2,0.01,15789,26.82,36.1,11011,434,0.5,0.39,15647,10.8,13.8,12.6,541,13.72,8.81,6.25,85,0.4,0.08,13.7,0.12,299884,5.21,1.4,1.01,261.2,0.74,0.76,0.03,10.3,4908,0.25,0.2,2.58,91.7,0.4,30.2,3.18,69.8,63.1,989.9,14.4,10,8.89,4720,0,0,0,9.7
geochem,2007190267,04.04.2008,-20.9514,117.4412,WA,,2007190267002 Fine,lt297,BOS,65114,7.8,379,0.18,26866,0.1,0.06,49.04,32.6,314.3,2.72,60,50.1,300,65492,15.9,0.62,0.02,10908,28.1,9.6,21129,666,0.7,0.29,6618,11.1,97.2,87.7,297,13.93,9.82,6.07,61.4,0.4,0.46,15.6,0.11,259921,5.369,1.7,0.87,115.2,0.94,0.979,0.02,11.04,5687,0.13,0.2,2.5,151.8,0.9,36.6,3.479,73.1,53,321.2,9.7,9,8.7,71.55,62.47,24.78,12.75,12.1
geochem,2007190268,19.12.2007,-35.3487,146.2836,NSW,,2007190268002 Fine,lt298,BOS,47261,12,319.5,0.37,1608,0.1,0.02,73.98,12.9,56.2,4.16,16.2,9.63,280,28871,10.3,0.52,0.01,11123,36.13,4.3,2551,488,0.6,0.22,2478,14.4,16.3,7.6,471,26.43,17.8,8.05,79.7,0.4,0.1,9.8,0.18,355551,6.51,3.6,0.94,55.4,1.25,1.037,0.02,15.03,4956,0.12,0.1,2.85,75.4,2.2,38.3,3.703,33,8,605.9,3.6,5,4.85,54.15,41.17,46.61,12.22,7.5
geochem,2007190269,30.05.2008,-22.8591,131.5524,NT,,2007190269002 Fine,lt299,BOS,97058,8.2,371.5,0.3,9084,0.14,0.05,72.1,15.7,70.7,6.2,23.9,20.3,540,46237,22.1,0.7,0.03,19773,36.58,22.8,12965,457,1,0.73,3487,11.3,32.5,21.2,332,20,12.1,7.48,117.1,0.4,0.11,16,0.1,250288,5.58,3.2,2.25,261.1,0.91,0.8,0.08,15.28,4621,0.39,0.1,3.31,126.1,1.3,27.8,2.88,72.3,56.6,445.5,8.7,7,8.385,1359,62.43,29.62,7.95,14
geochem,2007190271,27.05.2008,-29.3302,142.5206,NSW,,2007190271002 Fine,lt300,BOS,52655,5.1,541.5,0.17,7883,0.14,0.03,56.3,12.2,66.5,3.36,15.4,15.1,260,26983,11.4,0.5,0.03,11281,27.42,11.1,5101,511,1.4,1.79,6685,12.1,16.8,15.6,415,14.22,13.3,6.47,54.4,0.4,0.06,12.3,0.09,340959,5.59,2.4,0.77,173.5,0.9,0.75,0.07,10.98,5322,0.14,0.1,2.75,86.3,1,31.3,3.29,53.2,44.4,812.1,12,8.5,8.69,385,49.18,38.24,12.57,7.8
geochem,2007190272,19.05.2009,-30.8484,138.1672,SA,,2007190272002 Fine,lt301,BOS,60409,7.6,417.5,0.02,28795,0.1,0.08,73.35,11.7,57.3,5.1,24.8,24,540,35376,15.4,0.7,0.01,19350,37.09,20.3,12368,488,0.8,1.04,8643,13.5,21.6,21.8,471,14.78,0.1,8.51,98.2,1,0.3,11.9,0.07,294139,6.91,2.1,0.77,207.8,1.01,0.96,0.03,14.46,5340,0.25,0.2,3.21,101.5,2,35.4,3.51,53.4,44.4,509.5,13.4,9.5,7.753333333,4586.666667,50.83,40.05,9.12,9.4
geochem,2007190273,29.05.2008,-25.1788,143.2605,QLD,,2007190273002 Fine,lt302,BOS,61028,3.4,425.7,0.16,5031,0.13,0.08,55.25,17.2,122.3,2.79,19.7,16.9,160,29333,12.8,0.5,0.01,7554,26.11,8.1,3485,635,7.5,6.82,3813,11.2,40.7,41.3,336,15.15,8.98,6.13,42.7,0.4,0.02,13.2,0.05,335729,5.4,1.6,0.83,157.8,0.81,0.74,0.05,8.98,6137,0.15,0.1,2.65,101.3,1.5,30.7,3.17,52,37,726.1,9.4,5.5,6.53,26.8,53.95,31.65,14.4,8.4
geochem,2007190274,04.04.2008,-23.558,141.3611,QLD,,2007190274002 Fine,lt303,BOS,68280,4.3,466.6,0.18,2845,0.1,0.01,55.43,12.7,61.4,2.42,19.1,12,240,33131,13.7,0.59,0.01,4441,26.46,1.6,2147,550,0.7,0.24,2322,11.3,14.9,7.8,332,14.99,6.03,5.88,33.3,0.4,0.09,13.2,0.16,328521,4.7,1.7,0.49,210.4,0.81,0.697,0.06,8.03,7030,0.08,0.1,2.21,120.7,1,27.2,2.868,41,16.6,657,5.8,6.5,5.71,424,29.63,48.27,22.09,9
