"SITEID","TARGSITEID","SAMPLEID","HgCOMP"
2007190091,"TS1099",2007190091001,13.5464
2007190091,"TS1099",2007190091002,12.7822
2007190092,"TS1096",2007190092001,24.7943
2007190092,"TS1096",2007190092002,19.3765
2007190093,"TS1333",2007190093001,24.9014
2007190093,"TS1333",2007190093002,17.2624
2007190094,"TS0855",2007190094001,5.6205
2007190094,"TS0855",2007190094002,8.5398
2007190095,"TS0074",2007190095001,39.3819
2007190095,"TS0074",2007190095002,47.5373
2007190096,"TS0715",2007190096001,9.3921
2007190096,"TS0715",2007190096002,6.2811
2007190097,"TS0440",2007190097002,57.4424
2007190098,"TS0096",2007190098001,4.454
2007190098,"TS0096",2007190098002,2.8185
2007190099,"TS0654",2007190099001,32.9893
2007190099,"TS0654",2007190099002,22.3894
2007190101,"TS0573",2007190101001,84.7035
2007190103,"TS0919",2007190103002,16.3226
2007190104,"TS0040",2007190104001,53.2282
2007190104,"TS0040",2007190104002,41.0113
2007190105,"TS1140",2007190105001,40.9379
2007190105,"TS1140",2007190105002,7.2625
2007190106,"TS1228",2007190106001,21.6133
2007190106,"TS1228",2007190106002,40.9717
2007190107,"TS0048",2007190107001,19.2701
2007190107,"TS0048",2007190107002,16.3185
2007190108,"TS1161",2007190108001,7.8474
2007190108,"TS1161",2007190108002,9.28765
2007190110,"TS1354",2007190110001,33.6502
2007190110,"TS1354",2007190110002,29.1153
2007190111,"TS1114",2007190111001,18.2664
2007190111,"TS1114",2007190111002,7.754
2007190112,"TS1270",2007190112002,40.3672
2007190113,"TS0948",2007190113001,12.2271
2007190113,"TS0948",2007190113002,21.2678
2007190114,"TS1095",2007190114001,23.8779
2007190114,"TS1095",2007190114002,18.0019
2007190115,"TS0149",2007190115001,46.9678
2007190115,"TS0149",2007190115002,26.3575
2007190116,"TS0708",2007190116002,22.3236
2007190117,"TS1027",2007190117001,7.5184
2007190117,"TS1027",2007190117002,7.6828
2007190118,"TS0656",2007190118001,17.1556
2007190118,"TS0656",2007190118002,11.7425
2007190119,"TS0770",2007190119001,10.5935
2007190119,"TS0770",2007190119002,6.4
2007190121,"TS0070",2007190121001,26.763
2007190121,"TS0070",2007190121002,45.6202
2007190122,"TS1262",2007190122001,31.1902
2007190122,"TS1262",2007190122002,28.2049
2007190123,"TS0788",2007190123002,21.2387
2007190124,"TS1355",2007190124001,74.1596
2007190124,"TS1355",2007190124002,35.80605
2007190125,"TS0961",2007190125001,11.4948
2007190125,"TS0961",2007190125002,5.7819
2007190126,"TS1090",2007190126001,35.85695
2007190126,"TS1090",2007190126002,24.9382
2007190127,"TS0122",2007190127001,15.7246
2007190127,"TS0122",2007190127002,9.8204
2007190128,"TS1242",2007190128001,23.6387
2007190128,"TS1242",2007190128002,23.6856
2007190129,"TS0583",2007190129001,28.899
2007190129,"TS0583",2007190129002,13.6355
2007190130,"TS0442",2007190130001,14.0484
2007190130,"TS0442",2007190130002,3.8032
2007190131,"TS0019",2007190131001,29.0268
2007190131,"TS0019",2007190131002,33.7677
2007190132,"TS0834",2007190132001,8.1143
2007190132,"TS0834",2007190132002,6.6337
2007190134,"TS0162",2007190134001,19.9805
2007190134,"TS0162",2007190134002,27.6755
2007190135,"TS0319",2007190135001,27.7959
2007190135,"TS0319",2007190135002,15.7581
2007190136,"TS1379",2007190136001,38.7602
2007190136,"TS1379",2007190136002,45.1088
2007190137,"TS0763",2007190137001,22.1618
2007190137,"TS0763",2007190137002,26.1288
2007190138,"TS0975",2007190138001,10.4562
2007190138,"TS0975",2007190138002,5.801
2007190139,"TS0492",2007190139001,6.4192
2007190139,"TS0492",2007190139002,3.6582
2007190141,"TS0446",2007190141001,27.7337
2007190141,"TS0446",2007190141002,30.2814
2007190142,"TS0577",2007190142001,23.97715
2007190142,"TS0577",2007190142002,30.3508
2007190144,"TS1085",2007190144001,259.0047
2007190144,"TS1085",2007190144002,85.5815
2007190145,"TS0039",2007190145001,29.2216
2007190145,"TS0039",2007190145002,20.5964
2007190146,"TS0803",2007190146001,6.8137
2007190146,"TS0803",2007190146002,5.72455
2007190147,"TS0420",2007190147001,19.3125
2007190147,"TS0420",2007190147002,7.9216
2007190148,"TS1199",2007190148001,7.2774
2007190148,"TS1199",2007190148002,5.2626
2007190149,"TS1304",2007190149001,10.56075
2007190149,"TS1304",2007190149002,8.9345
2007190150,"TS0793",2007190150001,10.4248
2007190150,"TS0793",2007190150002,7.3421
2007190151,"TS0485",2007190151001,27.6124
2007190151,"TS0485",2007190151002,8.0986
2007190152,"TS0556",2007190152001,40.5352
2007190152,"TS0556",2007190152002,19.3878
2007190153,"TS0614",2007190153001,14.2323
2007190153,"TS0614",2007190153002,12.3154
2007190154,"TS0864",2007190154001,91.0501
2007190154,"TS0864",2007190154002,105.4174
2007190155,"TS1073",2007190155001,18.3547
2007190155,"TS1073",2007190155002,8.8764
2007190156,"TS1202",2007190156001,11.7304
2007190156,"TS1202",2007190156002,12.3662
2007190158,"TS0734",2007190158001,8.31215
2007190158,"TS0734",2007190158002,5.7834
2007190159,"TS0049",2007190159001,27.8187
2007190159,"TS0049",2007190159002,41.6731
2007190161,"TS0458",2007190161001,8.2292
2007190161,"TS0458",2007190161002,5.8175
2007190162,"TS1332",2007190162001,15.1414
2007190162,"TS1332",2007190162002,4.6712
2007190163,"TS0601",2007190163001,41.3732
2007190164,"TS0026",2007190164001,52.1746
2007190165,"TS0846",2007190165001,7.1632
2007190165,"TS0846",2007190165002,11.27575
2007190166,"TS0466",2007190166001,2.6297
2007190166,"TS0466",2007190166002,0.9508
2007190167,"TS0399",2007190167001,21.5964
2007190167,"TS0399",2007190167002,12.11335
2007190168,"TS1281",2007190168001,11.8152
2007190168,"TS1281",2007190168002,7.4411
2007190169,"TS0649",2007190169001,20.9205
2007190169,"TS0649",2007190169002,10.707
2007190170,"TS0870",2007190170001,18.6005
2007190170,"TS0870",2007190170002,5.2139
2007190172,"TS1339",2007190172001,23.76065
2007190172,"TS1339",2007190172002,4.4138
2007190174,"TS0123",2007190174002,18.6261
2007190177,"TS0662",2007190177001,19.6123
2007190177,"TS0662",2007190177002,11.1449
2007190178,"TS0709",2007190178001,10.0293
2007190178,"TS0709",2007190178002,6.49865
2007190179,"TS0107",2007190179001,3.9527
2007190179,"TS0107",2007190179002,9.8922
2007190181,"TS1209",2007190181001,24.0203
2007190181,"TS1209",2007190181002,7.6598
2007190182,"TS1298",2007190182001,34.031
2007190182,"TS1298",2007190182002,11.3903
2007190183,"TS0848",2007190183001,4.18255
2007190183,"TS0848",2007190183002,4.5869
2007190184,"TS0832",2007190184001,10.59775
2007190184,"TS0832",2007190184002,3.4623
2007190185,"TS0340",2007190185001,13.9854
2007190185,"TS0340",2007190185002,10.3518
2007190187,"TS0028",2007190187001,39.9525
2007190187,"TS0028",2007190187002,28.7549
2007190188,"TS0081",2007190188001,6.9649
2007190188,"TS0081",2007190188002,8.7324
2007190189,"TS1283",2007190189001,9.4286
2007190189,"TS1283",2007190189002,12.5266
2007190190,"TS0414",2007190190001,5.8884
2007190190,"TS0414",2007190190002,6.8032
2007190192,"TS1248",2007190192001,25.2067
2007190192,"TS1248",2007190192002,19.3005
2007190193,"TS1305",2007190193001,75.061
2007190193,"TS1305",2007190193002,10.28215
2007190194,"TS1229",2007190194001,24.3732
2007190194,"TS1229",2007190194002,15.9085
2007190195,"TS0029",2007190195002,30.7561
2007190196,"TS1264",2007190196002,5.8816
2007190197,"TS0217",2007190197001,10.4688
2007190197,"TS0217",2007190197002,12.2019
2007190198,"TS1082",2007190198001,8.2135
2007190198,"TS1082",2007190198002,5.6405
2007190202,"TS1128",2007190202001,17.2445
2007190202,"TS1128",2007190202002,15.1982
2007190203,"TS0510",2007190203001,12.9539
2007190203,"TS0510",2007190203002,21.5786
2007190204,"TS0762",2007190204001,13.3541
2007190204,"TS0762",2007190204002,10.9225
2007190205,"TS0972",2007190205001,12.8247
2007190205,"TS0972",2007190205002,10.9441
2007190206,"TS0290",2007190206001,15.7734
2007190206,"TS0290",2007190206002,8.0709
2007190207,"TS0604",2007190207001,17.1873
2007190207,"TS0604",2007190207002,10.4039
2007190208,"TS1052",2007190208001,8.4173
2007190208,"TS1052",2007190208002,9.96085
2007190209,"TS0759",2007190209001,10.7859
2007190209,"TS0759",2007190209002,7.4717
2007190211,"TS0911",2007190211001,4.8808
2007190211,"TS0911",2007190211002,4.1611
2007190212,"TS0816",2007190212001,23.751
2007190212,"TS0816",2007190212002,18.8486
2007190213,"TS0321",2007190213001,9.6405
2007190213,"TS0321",2007190213002,6.6763
2007190214,"TS1203",2007190214001,11.5408
2007190214,"TS1203",2007190214002,12.8856
2007190215,"TS0850",2007190215001,8.67125
2007190215,"TS0850",2007190215002,5.3507
2007190216,"TS0035",2007190216001,13.7047
2007190216,"TS0035",2007190216002,6.7675
2007190217,"TS1062",2007190217001,14.8519
2007190217,"TS1062",2007190217002,22.0904
2007190218,"TS0424",2007190218001,10.6797
2007190218,"TS0424",2007190218002,23.4215
2007190219,"TS1109",2007190219001,10.0394
2007190219,"TS1109",2007190219002,15.8655
2007190221,"TS0665",2007190221001,34.58305
2007190221,"TS0665",2007190221002,20.2045
2007190222,"TS0570",2007190222001,10.0383
2007190222,"TS0570",2007190222002,6.3041
2007190223,"TS0180",2007190223001,8.3878
2007190223,"TS0180",2007190223002,2.7194
2007190224,"TS0007",2007190224001,25.9361
2007190224,"TS0007",2007190224002,68.21225
2007190225,"TS1135",2007190225001,11.4596
2007190225,"TS1135",2007190225002,9.5829
2007190226,"TS1186",2007190226001,8.1458
2007190226,"TS1186",2007190226002,6.9921
2007190227,"TS1158",2007190227001,10.9475
2007190227,"TS1158",2007190227002,15.4496
2007190228,"TS0142",2007190228001,23.808
2007190228,"TS0142",2007190228002,34.5371
2007190229,"TS0555",2007190229001,5.2303
2007190229,"TS0555",2007190229002,1.2755
2007190230,"TS0428",2007190230001,32.6239
2007190230,"TS0428",2007190230002,29.7649
2007190231,"TS0431",2007190231001,4.4537
2007190231,"TS0431",2007190231002,7.81505
2007190232,"TS1347",2007190232001,30.6498
2007190232,"TS1347",2007190232002,36.6713
2007190233,"TS0799",2007190233001,12.3871
2007190233,"TS0799",2007190233002,7.31205
2007190234,"TS1146",2007190234001,11.6265
2007190234,"TS1146",2007190234002,9.3828
2007190235,"TS0391",2007190235001,16.8025
2007190235,"TS0391",2007190235002,15.7004
2007190237,"TS1047",2007190237001,16.4583
2007190237,"TS1047",2007190237002,27.8017
2007190238,"TS0504",2007190238001,7.0558
2007190238,"TS0504",2007190238002,8.0389
2007190239,"TS0776",2007190239001,21.3391
2007190241,"TS1244",2007190241001,17.4548
2007190241,"TS1244",2007190241002,14.0176
2007190242,"TS0835",2007190242001,2.7325
2007190242,"TS0835",2007190242002,7.47
2007190243,"TS1250",2007190243001,10.2264
2007190243,"TS1250",2007190243002,12.50635
2007190244,"TS0433",2007190244001,21.5503
2007190244,"TS0433",2007190244002,18.7176
2007190245,"TS0439",2007190245001,24.5486
2007190245,"TS0439",2007190245002,22.5049
2007190246,"TS0702",2007190246001,9.619
2007190246,"TS0702",2007190246002,6.3698
2007190248,"TS0178",2007190248001,5.32555
2007190249,"TS0528",2007190249001,13.1481
2007190249,"TS0528",2007190249002,33.8597
2007190251,"TS0031",2007190251002,2.236
2007190252,"TS0875",2007190252001,26.4726
2007190252,"TS0875",2007190252002,10.8943
2007190253,"TS0158",2007190253001,11.6699
2007190253,"TS0158",2007190253002,15.0223
2007190256,"TS0087",2007190256001,6.201
2007190256,"TS0087",2007190256002,5.099
2007190257,"TS1349",2007190257001,20.2009
2007190257,"TS1349",2007190257002,17.3862
2007190258,"TS1174",2007190258001,30.0728
2007190258,"TS1174",2007190258002,31.78985
2007190259,"TS1267",2007190259001,12.3115
2007190259,"TS1267",2007190259002,26.8132
2007190261,"TS0928",2007190261001,12.0656
2007190261,"TS0928",2007190261002,11.5525
2007190263,"TS1256",2007190263001,8.49185
2007190263,"TS1256",2007190263002,5.0609
