SITEID,SAMPLEID,HgCOMP
2007190115,2007190115001,46.9678
2007190115,2007190115002,26.3575
2007190116,2007190116002,22.3236
2007190117,2007190117001,7.5184
2007190117,2007190117002,7.6828
2007190118,2007190118001,17.1556
2007191552,2007191552001,15.9622
2007190118,2007190118002,11.7425
2007191552,2007191552002,15.4944
2007190119,2007190119001,10.5935
2007190119,2007190119002,6.4
2007190121,2007190121001,26.763
2007191545,2007191545001,37.6142
2007190121,2007190121002,45.6202
2007191545,2007191545002,32.2466
2007190122,2007190122001,31.1902
2007190122,2007190122002,28.2049
2007190123,2007190123002,21.2387
2007190124,2007190124001,74.1596
2007190124,2007190124002,35.80605
2007190125,2007190125001,11.4948
2007191532,2007191532001,10.1748
2007190125,2007190125002,5.7819
2007191532,2007191532002,9.0712
2007190126,2007190126001,35.85695
2007190126,2007190126002,24.9382
2007190127,2007190127001,15.7246
2007190127,2007190127002,9.8204
2007190128,2007190128001,23.6387
2007190128,2007190128002,23.6856
2007190129,2007190129001,28.899
2007190129,2007190129002,13.6355
2007190130,2007190130001,14.0484
2007190130,2007190130002,3.8032
2007190131,2007190131001,29.0268
2007190131,2007190131002,33.7677
2007190132,2007190132001,8.1143
2007190132,2007190132002,6.6337
2007190134,2007190134001,19.9805
2007190134,2007190134002,27.6755
2007190135,2007190135001,27.7959
2007190135,2007190135002,15.7581
2007190136,2007190136001,38.7602
2007190136,2007190136002,45.1088
2007190137,2007190137001,22.1618
2007190137,2007190137002,26.1288
2007190138,2007190138001,10.4562
2007190138,2007190138002,5.801
2007190139,2007190139001,6.4192
2007190139,2007190139002,3.6582
2007190141,2007190141001,27.7337
2007190141,2007190141002,30.2814
2007190142,2007190142001,23.97715
2007190142,2007190142002,30.3508
2007190144,2007190144001,259.0047
2007190144,2007190144002,85.5815
2007190145,2007190145001,29.2216
2007191105,2007191105001,37.581
2007190145,2007190145002,20.5964
2007191105,2007191105002,29.3268
2007190146,2007190146001,6.8137
2007190146,2007190146002,5.72455
2007190147,2007190147001,19.3125
2007190147,2007190147002,7.9216
2007190148,2007190148001,7.2774
2007190148,2007190148002,5.2626
2007190149,2007190149001,10.56075
2007190149,2007190149002,8.9345
2007190150,2007190150001,10.4248
2007190150,2007190150002,7.3421
2007190151,2007190151001,27.6124
2007190151,2007190151002,8.0986
2007190152,2007190152001,40.5352
2007190152,2007190152002,19.3878
2007190153,2007190153001,14.2323
2007190153,2007190153002,12.3154
2007190154,2007190154001,91.0501
2007190568,2007190568001,56.6754
2007190154,2007190154002,105.4174
2007190568,2007190568002,33.8881
2007190155,2007190155001,18.3547
2007190155,2007190155002,8.8764
2007190156,2007190156001,11.7304
2007190156,2007190156002,12.3662
2007190158,2007190158001,8.31215
2007190158,2007190158002,5.7834
2007190159,2007190159001,27.8187
2007190159,2007190159002,41.6731
2007190161,2007190161001,8.2292
2007191413,2007191413001,6.7472
2007190161,2007190161002,5.8175
2007191413,2007191413002,5.47465
2007190162,2007190162001,15.1414
2007190162,2007190162002,4.6712
2007190163,2007190163001,41.3732
2007190164,2007190164001,52.1746
2007190165,2007190165001,7.1632
2007190165,2007190165002,11.27575
2007190166,2007190166001,2.6297
2007190166,2007190166002,0.9508
2007190167,2007190167001,21.5964
2007190167,2007190167002,12.11335
2007190168,2007190168001,11.8152
2007190168,2007190168002,7.4411
2007190169,2007190169001,20.9205
2007190169,2007190169002,10.707
2007190170,2007190170001,18.6005
2007190170,2007190170002,5.2139
2007190172,2007190172001,23.76065
2007190172,2007190172002,4.4138
2007190174,2007190174002,18.6261
2007191566,2007191566001,29.4143
2007191566,2007191566002,40.8448
2007190177,2007190177001,19.6123
2007190177,2007190177002,11.1449
2007190178,2007190178001,10.0293
2007190178,2007190178002,6.49865
2007190179,2007190179001,3.9527
2007190179,2007190179002,9.8922
2007190181,2007190181001,24.0203
2007191396,2007191396001,19.474
2007190181,2007190181002,7.6598
2007191396,2007191396002,9.2985
2007190182,2007190182001,34.031
2007190182,2007190182002,11.3903
2007190183,2007190183001,4.18255
2007190471,2007190471001,5.2833
2007190183,2007190183002,4.5869
2007190471,2007190471002,1.4808
2007190184,2007190184001,10.59775
2007190184,2007190184002,3.4623
2007190185,2007190185001,13.9854
2007191253,2007191253001,10.6613
2007190185,2007190185002,10.3518
2007191253,2007191253002,8.7815
2007190187,2007190187001,39.9525
2007190187,2007190187002,28.7549
2007190188,2007190188001,6.9649
2007190188,2007190188002,8.7324
2007190189,2007190189001,9.4286
2007191542,2007191542001,21.3108
2007190189,2007190189002,12.5266
2007191542,2007191542002,17.192
2007190190,2007190190001,5.8884
2007190190,2007190190002,6.8032
2007190192,2007190192001,25.2067
2007190192,2007190192002,19.3005
2007190193,2007190193001,75.061
2007190788,2007190788001,80.4847
2007190193,2007190193002,10.28215
2007190788,2007190788002,19.546
2007190194,2007190194001,24.3732
2007190704,2007190704001,26.7356
2007190194,2007190194002,15.9085
2007190704,2007190704002,11.2575
2007190195,2007190195002,30.7561
2007190196,2007190196002,5.8816
2007190197,2007190197001,10.4688
2007190962,2007190962001,14.427
2007190197,2007190197002,12.2019
2007190962,2007190962002,16.8626
2007190198,2007190198001,8.2135
2007190198,2007190198002,5.6405
2007190202,2007190202001,17.2445
2007190202,2007190202002,15.1982
2007190203,2007190203001,12.9539
2007190203,2007190203002,21.5786
2007190204,2007190204001,13.3541
2007190204,2007190204002,10.9225
2007190205,2007190205001,12.8247
2007190205,2007190205002,10.9441
2007190206,2007190206001,15.7734
2007190206,2007190206002,8.0709
2007190207,2007190207001,17.1873
2007190207,2007190207002,10.4039
2007190208,2007190208001,8.4173
2007191593,2007191593001,12.444
2007190208,2007190208002,9.96085
2007191593,2007191593002,10.4761
2007190209,2007190209001,10.7859
2007191254,2007191254001,10.8062
2007190209,2007190209002,7.4717
2007191254,2007191254002,9.1318
2007190211,2007190211001,4.8808
2007190211,2007190211002,4.1611
2007190212,2007190212001,23.751
2007190747,2007190747001,41.8443
2007190212,2007190212002,18.8486
2007190214,2007190214001,11.5408
2007190214,2007190214002,12.8856
2007190215,2007190215001,8.67125
2007190215,2007190215002,5.3507
2007190216,2007190216001,13.7047
2007190216,2007190216002,6.7675
2007190217,2007190217001,14.8519
2007190217,2007190217002,22.0904
2007190218,2007190218001,10.6797
2007191348,2007191348001,12.8177
2007190218,2007190218002,23.4215
2007191348,2007191348002,20.8665
2007190219,2007190219001,10.0394
2007190219,2007190219002,15.8655
2007190221,2007190221001,34.58305
2007190221,2007190221002,20.2045
2007190222,2007190222001,10.0383
2007190222,2007190222002,6.3041
2007190223,2007190223001,8.3878
2007190223,2007190223002,2.7194
2007190224,2007190224001,25.9361
2007190224,2007190224002,68.21225
2007190225,2007190225001,11.4596
2007190225,2007190225002,9.5829
2007190226,2007190226001,8.1458
2007190226,2007190226002,6.9921
2007190227,2007190227001,10.9475
2007190227,2007190227002,15.4496
2007190228,2007190228001,23.808
2007190228,2007190228002,34.5371
2007190229,2007190229001,5.2303
2007190229,2007190229002,1.2755
2007190230,2007190230001,32.6239
2007190230,2007190230002,29.7649
2007190231,2007190231001,4.4537
2007190231,2007190231002,7.81505
2007190232,2007190232001,30.6498
2007190232,2007190232002,36.6713
2007190233,2007190233001,12.3871
2007190233,2007190233002,7.31205
2007190234,2007190234001,11.6265
2007190234,2007190234002,9.3828
2007190235,2007190235001,16.8025
2007190235,2007190235002,15.7004
2007190237,2007190237001,16.4583
2007190237,2007190237002,27.8017
2007190238,2007190238001,7.0558
2007190238,2007190238002,8.0389
2007190239,2007190239001,21.3391
2007190241,2007190241001,17.4548
2007190978,2007190978001,18.2039
2007190241,2007190241002,14.0176
2007190978,2007190978002,21.6319
2007190242,2007190242001,2.7325
2007190242,2007190242002,7.47
2007190243,2007190243001,10.2264
2007190243,2007190243002,12.50635
2007190244,2007190244001,21.5503
2007190244,2007190244002,18.7176
2007190245,2007190245001,24.5486
2007190245,2007190245002,22.5049
2007190246,2007190246001,9.619
2007190246,2007190246002,6.3698
2007190248,2007190248001,5.32555
2007191198,2007191198002,11.7979
2007190249,2007190249001,13.1481
2007190249,2007190249002,33.8597
2007190251,2007190251002,2.236
2007190252,2007190252001,26.4726
2007190252,2007190252002,10.8943
2007190253,2007190253001,11.6699
2007190253,2007190253002,15.0223
2007190256,2007190256001,6.201
2007190875,2007190875001,11.5792
